Players,Kalvar,kikoho,warmmer,bonfire10,Bekvin,cupofwater,Golden,Younger,Trail,Shmeeli,Silver,Ember,Awesome Video Games,Arty,dudutsai,Electroman
Kalvar,-,0 - 0,0 - 0,3 - 0,1 - 0,6 - 1,5 - 3,2 - 0,0 - 0,1 - 0,0 - 0,6 - 0,0 - 0,0 - 0,1 - 0,1 - 0
kikoho,0 - 0,-,0 - 0,0 - 0,1 - 0,0 - 1,0 - 0,0 - 0,1 - 0,0 - 0,0 - 0,0 - 0,0 - 0,2 - 1,0 - 0,0 - 0
warmmer,0 - 1,0 - 0,-,2 - 0,1 - 0,0 - 0,0 - 0,0 - 0,1 - 1,2 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0
bonfire10,0 - 3,0 - 0,0 - 0,-,0 - 1,1 - 3,3 - 2,0 - 1,2 - 1,2 - 0,1 - 1,0 - 1,1 - 0,0 - 0,0 - 0,0 - 0
Bekvin,0 - 1,0 - 1,0 - 0,1 - 0,-,0 - 0,0 - 0,2 - 0,1 - 1,2 - 0,0 - 0,1 - 0,0 - 1,2 - 0,1 - 1,1 - 0
cupofwater,1 - 6,1 - 0,0 - 0,3 - 1,0 - 0,-,0 - 2,0 - 0,2 - 0,0 - 1,1 - 0,2 - 0,0 - 0,0 - 0,0 - 0,2 - 0
Golden,3 - 5,0 - 0,0 - 0,2 - 3,0 - 0,2 - 0,-,0 - 1,0 - 1,0 - 1,0 - 0,1 - 1,1 - 1,0 - 0,0 - 1,2 - 1
Younger,0 - 2,0 - 0,0 - 0,1 - 0,0 - 2,0 - 0,1 - 0,-,0 - 0,1 - 0,0 - 0,1 - 0,0 - 0,0 - 0,0 - 0,0 - 0
Trail,0 - 0,0 - 1,0 - 0,1 - 2,1 - 1,0 - 2,1 - 0,0 - 0,-,1 - 0,1 - 0,0 - 0,0 - 0,0 - 0,0 - 0,1 - 0
Shmeeli,0 - 1,0 - 0,0 - 0,0 - 2,0 - 2,1 - 0,1 - 0,0 - 1,0 - 1,-,1 - 0,1 - 0,0 - 0,0 - 0,0 - 0,1 - 0
Silver,0 - 0,0 - 0,0 - 0,1 - 1,0 - 0,0 - 1,0 - 0,0 - 0,0 - 1,0 - 1,-,2 - 0,0 - 1,0 - 0,0 - 1,0 - 0
Ember,0 - 6,0 - 0,0 - 0,1 - 0,0 - 1,0 - 2,1 - 1,0 - 1,0 - 0,0 - 1,0 - 2,-,1 - 0,1 - 0,0 - 0,0 - 1
Awesome Video Games,0 - 0,0 - 0,0 - 0,0 - 1,1 - 0,0 - 0,1 - 1,0 - 0,0 - 0,0 - 0,1 - 0,0 - 1,-,1 - 0,0 - 0,0 - 1
Arty,0 - 0,1 - 2,0 - 0,0 - 0,0 - 2,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 0,0 - 1,0 - 1,-,0 - 0,0 - 0
dudutsai,0 - 1,0 - 0,0 - 0,0 - 0,1 - 1,0 - 0,1 - 0,0 - 0,0 - 0,0 - 0,1 - 0,0 - 0,0 - 0,0 - 0,-,0 - 0
Electroman,0 - 1,0 - 0,0 - 0,0 - 0,0 - 1,0 - 2,1 - 2,0 - 0,0 - 1,0 - 1,0 - 0,1 - 0,1 - 0,0 - 0,0 - 0,-
